,originalLocation,x,y,z
774,P-24-11,11.8,131.8,1
775,P-24-12,10.2,131.8,1
776,P-24-13,8.6,131.8,1
777,Q-01-11,66.6,144.0,1
778,Q-01-12,65.0,144.0,1
779,Q-01-13,63.4,144.0,1
780,Q-03-11,61.6,144.0,1
781,Q-03-12,60.0,144.0,1
782,Q-03-13,58.4,144.0,1
783,Q-05-11,56.6,144.0,1
784,Q-05-12,55.0,144.0,1
785,Q-05-13,53.4,144.0,1
786,Q-07-11,51.6,144.0,1
787,Q-07-12,50.0,144.0,1
788,Q-07-13,48.4,144.0,1
789,Q-09-11,46.6,144.0,1
790,Q-09-12,45.0,144.0,1
791,Q-09-13,43.4,144.0,1
792,Q-13-11,36.8,135.0,1
793,Q-13-12,35.2,135.0,1
794,Q-13-13,33.6,135.0,1
795,Q-14-11,36.8,140.8,1
796,Q-14-12,35.2,140.8,1
797,Q-14-13,33.6,140.8,1
798,Q-15-11,31.8,135.0,1
799,Q-15-12,30.2,135.0,1
800,Q-15-13,28.6,135.0,1
801,Q-16-11,31.8,140.8,1
802,Q-16-12,30.2,140.8,1
803,Q-16-13,28.6,140.8,1
804,Q-17-11,26.8,135.0,1
805,Q-17-12,25.2,135.0,1
806,Q-17-13,23.6,135.0,1
807,Q-18-11,26.8,140.8,1
808,Q-18-12,25.2,140.8,1
809,Q-18-13,23.6,140.8,1
810,Q-19-11,21.8,135.0,1
811,Q-19-12,20.2,135.0,1
812,Q-19-13,18.6,135.0,1
813,Q-20-11,21.8,140.8,1
814,Q-20-12,20.2,140.8,1
815,Q-20-13,18.6,140.8,1
816,Q-21-11,16.8,135.0,1
817,Q-21-12,15.2,135.0,1
818,Q-21-13,13.6,135.0,1
819,Q-22-11,16.8,140.8,1
820,Q-22-12,15.2,140.8,1
821,Q-22-13,13.6,140.8,1
822,Q-23-11,11.8,135.0,1
823,Q-23-12,10.2,135.0,1
824,Q-23-13,8.6,135.0,1
825,Q-24-11,11.8,140.8,1
826,Q-24-12,10.2,140.8,1
827,Q-24-13,8.6,140.8,1
828,R-13-11,36.8,144.0,1
829,R-13-12,35.2,144.0,1
830,R-13-13,33.6,144.0,1
831,R-15-11,31.8,144.0,1
832,R-15-12,30.2,144.0,1
833,R-15-13,28.6,144.0,1
834,R-17-11,26.8,144.0,1
835,R-17-12,25.2,144.0,1
836,R-17-13,23.6,144.0,1
837,R-19-11,21.8,144.0,1
838,R-19-12,20.2,144.0,1
839,R-19-13,18.6,144.0,1
840,R-21-11,16.8,144.0,1
841,R-21-12,15.2,144.0,1
842,R-21-13,13.6,144.0,1
843,R-23-11,11.8,144.0,1
844,R-23-12,10.2,144.0,1
845,R-23-13,8.6,144.0,1
