,originalLocation,x,y,z
176,F-17-13,23.6,39.2,1
177,F-18-11,26.8,45.0,1
178,F-18-12,25.2,45.0,1
179,F-18-13,23.6,45.0,1
180,F-19-11,21.8,39.2,1
181,F-19-12,20.2,39.2,1
182,F-19-13,18.6,39.2,1
183,F-20-11,21.8,45.0,1
184,F-20-12,20.2,45.0,1
185,F-20-13,18.6,45.0,1
186,F-21-11,16.8,39.2,1
187,F-21-12,15.2,39.2,1
188,F-21-13,13.6,39.2,1
189,F-22-11,16.8,45.0,1
190,F-22-12,15.2,45.0,1
191,F-22-13,13.6,45.0,1
192,F-23-11,11.8,39.2,1
193,F-23-12,10.2,39.2,1
194,F-23-13,8.6,39.2,1
195,F-24-11,11.8,45.0,1
196,F-24-12,10.2,45.0,1
197,F-24-13,8.6,45.0,1
198,G-13-11,36.8,48.2,1
199,G-13-12,35.2,48.2,1
200,G-13-13,33.6,48.2,1
201,G-15-11,31.8,48.2,1
202,G-15-12,30.2,48.2,1
203,G-15-13,28.6,48.2,1
204,G-17-11,26.8,48.2,1
205,G-17-12,25.2,48.2,1
206,G-17-13,23.6,48.2,1
207,G-19-11,21.8,48.2,1
208,G-19-12,20.2,48.2,1
209,G-19-13,18.6,48.2,1
210,G-21-11,16.8,48.2,1
211,G-21-12,15.2,48.2,1
212,G-21-13,13.6,48.2,1
213,G-23-11,11.8,48.2,1
214,G-23-12,10.2,48.2,1
215,G-23-13,8.6,48.2,1
216,H-02-11,66.6,68.8,1
217,H-02-12,65.0,68.8,1
218,H-02-13,63.4,68.8,1
219,H-04-11,61.6,68.8,1
220,H-04-12,60.0,68.8,1
221,H-04-13,58.4,68.8,1
222,H-06-11,56.6,68.8,1
223,H-06-12,55.0,68.8,1
224,H-06-13,53.4,68.8,1
225,H-08-11,51.6,68.8,1
226,H-08-12,50.0,68.8,1
227,H-08-13,48.4,68.8,1
228,H-10-11,46.6,68.8,1
229,H-10-12,45.0,68.8,1
230,H-10-13,43.4,68.8,1
231,H-14-11,36.8,54.0,1
232,H-14-12,35.2,54.0,1
233,H-14-13,33.6,54.0,1
234,H-16-11,31.8,54.0,1
235,H-16-12,30.2,54.0,1
236,H-16-13,28.6,54.0,1
237,H-18-11,26.8,54.0,1
238,H-18-12,25.2,54.0,1
239,H-18-13,23.6,54.0,1
240,H-20-11,21.8,54.0,1
241,H-20-12,20.2,54.0,1
242,H-20-13,18.6,54.0,1
243,H-22-11,16.8,54.0,1
244,H-22-12,15.2,54.0,1
245,H-22-13,13.6,54.0,1
246,H-24-11,11.8,54.0,1
247,H-24-12,10.2,54.0,1
248,H-24-13,8.6,54.0,1
249,I-01-11,66.6,72.0,1
250,I-01-12,65.0,72.0,1
251,I-01-13,63.4,72.0,1
252,I-02-11,66.6,77.8,1
253,I-02-12,65.0,77.8,1
254,I-02-13,63.4,77.8,1
255,I-03-11,61.6,72.0,1
256,I-03-12,60.0,72.0,1
257,I-03-13,58.4,72.0,1
258,I-04-11,61.6,77.8,1
259,I-04-12,60.0,77.8,1
260,I-04-13,58.4,77.8,1
261,I-05-11,56.6,72.0,1
262,I-05-12,55.0,72.0,1
263,I-05-13,53.4,72.0,1
264,I-06-11,56.6,77.8,1
265,I-06-12,55.0,77.8,1
266,I-06-13,53.4,77.8,1
267,I-07-11,51.6,72.0,1
268,I-07-12,50.0,72.0,1
269,I-07-13,48.4,72.0,1
270,I-08-11,51.6,77.8,1
271,I-08-12,50.0,77.8,1
272,I-08-13,48.4,77.8,1
273,I-09-11,46.6,72.0,1
274,I-09-12,45.0,72.0,1
275,I-09-13,43.4,72.0,1
276,I-10-11,46.6,77.8,1
277,I-10-12,45.0,77.8,1
278,I-10-13,43.4,77.8,1
279,I-13-11,36.8,57.2,1
280,I-13-12,35.2,57.2,1
281,I-13-13,33.6,57.2,1
282,I-14-11,36.8,68.8,1
283,I-14-12,35.2,68.8,1
284,I-14-13,33.6,68.8,1
285,I-15-11,31.8,57.2,1
286,I-15-12,30.2,57.2,1
287,I-15-13,28.6,57.2,1
288,I-16-11,31.8,68.8,1
289,I-16-12,30.2,68.8,1
290,I-16-13,28.6,68.8,1
291,I-17-11,26.8,57.2,1
292,I-17-12,25.2,57.2,1
293,I-17-13,23.6,57.2,1
294,I-18-11,26.8,68.8,1
295,I-18-12,25.2,68.8,1
296,I-18-13,23.6,68.8,1
297,I-19-11,21.8,57.2,1
298,I-19-12,20.2,57.2,1
299,I-19-13,18.6,57.2,1
