,originalLocation,position,x,y,z
1393,M-03-12,"600, 1080, 1",600,1080,1
1394,M-03-13,"584, 1080, 1",584,1080,1
1400,M-04-11,"616, 1138, 1",616,1138,1
1401,M-04-12,"600, 1138, 1",600,1138,1
1402,M-04-13,"584, 1138, 1",584,1138,1
1408,M-05-11,"566, 1080, 1",566,1080,1
1409,M-05-12,"550, 1080, 1",550,1080,1
1410,M-05-13,"534, 1080, 1",534,1080,1
1416,M-06-11,"566, 1138, 1",566,1138,1
1417,M-06-12,"550, 1138, 1",550,1138,1
1418,M-06-13,"534, 1138, 1",534,1138,1
1424,M-07-11,"516, 1080, 1",516,1080,1
1425,M-07-12,"500, 1080, 1",500,1080,1
1426,M-07-13,"484, 1080, 1",484,1080,1
1432,M-08-11,"516, 1138, 1",516,1138,1
1433,M-08-12,"500, 1138, 1",500,1138,1
1434,M-08-13,"484, 1138, 1",484,1138,1
1440,M-09-11,"466, 1080, 1",466,1080,1
1441,M-09-12,"450, 1080, 1",450,1080,1
1442,M-09-13,"434, 1080, 1",434,1080,1
1448,M-10-11,"466, 1138, 1",466,1138,1
1449,M-10-12,"450, 1138, 1",450,1138,1
1450,M-10-13,"434, 1138, 1",434,1138,1
1456,M-13-11,"368, 990, 1",368,990,1
1457,M-13-12,"352, 990, 1",352,990,1
1458,M-13-13,"336, 990, 1",336,990,1
1464,M-14-11,"368, 1048, 1",368,1048,1
1465,M-14-12,"352, 1048, 1",352,1048,1
1466,M-14-13,"336, 1048, 1",336,1048,1
1472,M-15-11,"318, 990, 1",318,990,1
1473,M-15-12,"302, 990, 1",302,990,1
1474,M-15-13,"286, 990, 1",286,990,1
1480,M-16-11,"318, 1048, 1",318,1048,1
1481,M-16-12,"302, 1048, 1",302,1048,1
1482,M-16-13,"286, 1048, 1",286,1048,1
1488,M-17-11,"268, 990, 1",268,990,1
1489,M-17-12,"252, 990, 1",252,990,1
1490,M-17-13,"236, 990, 1",236,990,1
1496,M-18-11,"268, 1048, 1",268,1048,1
1497,M-18-12,"252, 1048, 1",252,1048,1
1498,M-18-13,"236, 1048, 1",236,1048,1
1504,M-19-11,"218, 990, 1",218,990,1
1505,M-19-12,"202, 990, 1",202,990,1
1506,M-19-13,"186, 990, 1",186,990,1
1512,M-20-11,"218, 1048, 1",218,1048,1
1513,M-20-12,"202, 1048, 1",202,1048,1
1514,M-20-13,"186, 1048, 1",186,1048,1
1520,M-21-11,"168, 990, 1",168,990,1
1521,M-21-12,"152, 990, 1",152,990,1
1522,M-21-13,"136, 990, 1",136,990,1
1528,M-22-11,"168, 1048, 1",168,1048,1
1529,M-22-12,"152, 1048, 1",152,1048,1
1530,M-22-13,"136, 1048, 1",136,1048,1
1536,M-23-11,"118, 990, 1",118,990,1
1537,M-23-12,"102, 990, 1",102,990,1
1538,M-23-13,"86, 990, 1",86,990,1
1544,M-24-11,"118, 1048, 1",118,1048,1
1545,M-24-12,"102, 1048, 1",102,1048,1
1546,M-24-13,"86, 1048, 1",86,1048,1
1552,N-01-11,"666, 1170, 1",666,1170,1
1553,N-01-12,"650, 1170, 1",650,1170,1
1554,N-01-13,"634, 1170, 1",634,1170,1
1560,N-02-11,"666, 1228, 1",666,1228,1
1561,N-02-12,"650, 1228, 1",650,1228,1
1562,N-02-13,"634, 1228, 1",634,1228,1
1568,N-03-11,"616, 1170, 1",616,1170,1
1569,N-03-12,"600, 1170, 1",600,1170,1
1570,N-03-13,"584, 1170, 1",584,1170,1
1576,N-04-11,"616, 1228, 1",616,1228,1
1577,N-04-12,"600, 1228, 1",600,1228,1
1578,N-04-13,"584, 1228, 1",584,1228,1
1584,N-05-11,"566, 1170, 1",566,1170,1
