,Location,XYZCOD,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
14,I-14-11,X,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5,05W6TK,9.5
15,I-13-12,X,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0,SMMRK3,11.0
16,I-09-22,X,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0,05W6TK,10.0
17,I-10-23,X,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0,WRRW1W,11.0
18,I-14-21,X,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5,WRRW1W,9.5
19,I-13-22,X,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5,I1KDJ0,10.5
20,H-10-11,X,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0,8N10W9,13.0
21,J-09-13,X,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5,I1KDJ0,9.5
22,J-13-11,X,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5,WRRW1W,10.5
23,H-14-13,X,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0,SMMRK3,9.0
