waveNumber,fitness,individual,history
43152,70.80000000000001,"[('WH1BJI', 'K-09-13'), ('CD1NU9', 'I-09-13')]","[70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001]"
43151,145.39999999999998,"[('9KHDG3', 'E-14-11'), ('WH1BJI', 'E-14-11'), ('8N10W9', 'E-18-12'), ('I1KDJ0', 'E-20-13'), ('2T1DJM', 'D-20-11'), ('32ZKOX', 'D-18-12'), ('WGHG3L', 'D-18-11'), ('Z8KPP8', 'D-18-11'), ('UNPPMJ', 'D-16-13'), ('KTDZY0', 'D-16-11')]","[296.2, 258.4, 225.59999999999997, 201.59999999999997, 192.8, 192.8, 183.0, 173.79999999999995, 155.39999999999998, 151.39999999999998, 151.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998]"
43144,91.39999999999999,"[('SMMRK3', 'H-22-11'), ('2T1DJM', 'H-22-13'), ('6M2FJM', 'H-22-13'), ('JEGRCL', 'H-24-11'), ('I1KDJ0', 'G-21-12'), ('F7LULH', 'G-21-11'), ('8N10W9', 'G-19-12'), ('KTDZY0', 'G-17-13')]","[260.2, 215.39999999999998, 178.2, 178.2, 131.0, 121.39999999999999, 107.39999999999999, 97.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999]"
43127,109.39999999999999,"[('KTDZY0', 'F-18-13'), ('AKP0A7', 'F-20-12'), ('W25EZN', 'F-24-11'), ('ZGYCSW', 'H-24-12'), ('WRRW1W', 'H-24-12'), ('2T1DJM', 'H-22-13'), ('I1KDJ0', 'H-22-12'), ('O9YFO8', 'H-16-11')]","[244.2, 212.60000000000002, 183.8, 150.0, 139.59999999999997, 133.0, 126.19999999999999, 126.19999999999999, 124.99999999999999, 118.19999999999999, 115.39999999999999, 115.39999999999999, 113.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999]"
43125,105.19999999999999,"[('2T1DJM', 'F-15-11'), ('J3FI7N', 'F-15-11'), ('WRRW1W', 'F-15-12'), ('5HQR89', 'F-19-11'), ('W25EZN', 'F-21-11'), ('8N10W9', 'F-17-12'), ('O9YFO8', 'F-13-13'), ('I1KDJ0', 'F-14-13')]","[254.0, 195.2, 195.2, 171.8, 150.0, 138.0, 125.19999999999999, 125.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999]"
43121,81.19999999999999,"[('V7JUQL', 'F-14-11'), ('I1KDJ0', 'F-14-13'), ('AKP0A7', 'F-15-12'), ('UNPPMJ', 'F-15-13'), ('ZGYCSW', 'F-15-13'), ('8D9SAW', 'F-15-11'), ('O9YFO8', 'F-13-13'), ('KTDZY0', 'F-13-11')]","[239.2, 167.39999999999998, 167.39999999999998, 152.39999999999998, 147.2, 121.19999999999999, 103.19999999999999, 85.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999, 81.19999999999999]"
43116,148.2,"[('W518XY', 'D-24-12'), ('HI2X6U', 'D-24-12'), ('ZX6MUV', 'D-24-13'), ('VHQ356', 'D-23-13'), ('KTDZY0', 'D-23-13'), ('8N10W9', 'F-16-12'), ('I1KDJ0', 'F-14-13'), ('SMMRK3', 'F-14-11')]","[221.0, 194.2, 182.0, 175.39999999999998, 169.8, 163.8, 157.0, 154.2, 154.2, 154.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2, 148.2]"
43113,109.39999999999999,"[('KTDZY0', 'F-20-13'), ('AKP0A7', 'F-24-13'), ('KZ5VR3', 'F-23-12'), ('5MNTT7', 'F-23-11'), ('W25EZN', 'F-21-12'), ('X31OGS', 'F-17-12'), ('8N10W9', 'F-17-12'), ('0LNUOV', 'F-15-12')]","[252.60000000000002, 198.60000000000002, 179.59999999999997, 147.39999999999998, 142.2, 122.99999999999999, 118.99999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999]"
43107,106.6,"[('V7JUQL', 'F-14-12'), ('69L9MX', 'F-16-12'), ('05W6TK', 'F-20-13'), ('W25EZN', 'F-22-11'), ('K3YA1X', 'F-22-11'), ('CU53FM', 'F-24-13'), ('EAJXUV', 'F-24-12'), ('E5CISL', 'F-20-13')]","[214.60000000000002, 180.39999999999998, 159.0, 136.2, 132.0, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6, 106.6]"
43105,132.2,"[('KTDZY0', 'F-20-13'), ('0LNUOV', 'F-20-13'), ('U95NWB', 'F-22-12'), ('SVFO5S', 'F-23-11'), ('NJVZEL', 'F-19-13'), ('SMMRK3', 'F-21-12'), ('TNAHD4', 'F-21-12'), ('K3YA1X', 'F-21-13'), ('XUZJ74', 'H-22-13'), ('8N10W9', 'H-20-13')]","[325.8, 289.0, 211.5, 213.40000000000003, 183.8, 171.0, 159.0, 149.0, 140.2, 136.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2, 132.2]"
43100,100.19999999999999,"[('YKQY4X', 'H-22-11'), ('SMMRK3', 'I-23-11'), ('ZRCYSH', 'G-23-11'), ('F7LULH', 'G-21-11'), ('8D9SAW', 'G-19-12'), ('8N10W9', 'G-19-12'), ('5HQR89', 'G-17-11'), ('5P2MVG', 'G-15-12')]","[259.6, 219.79999999999995, 202.59999999999997, 163.2, 139.79999999999998, 133.0, 102.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999, 100.19999999999999]"
43097,91.19999999999999,"[('X31OGS', 'F-18-11'), ('D05ZS7', 'F-20-12'), ('KTDZY0', 'F-18-13'), ('0LNUOV', 'F-18-12'), ('XUZJ74', 'F-16-12'), ('8N10W9', 'F-16-12'), ('I1KDJ0', 'F-14-13'), ('0SJH1Z', 'F-14-12'), ('SMMRK3', 'F-14-11'), ('B24J86', 'G-13-11')]","[344.80000000000007, 300.40000000000003, 242.0, 226.60000000000002, 192.59999999999997, 169.0, 145.79999999999998, 132.2, 119.19999999999999, 105.19999999999999, 105.19999999999999, 101.19999999999999, 99.19999999999999, 97.19999999999999, 97.19999999999999, 93.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999]"
43095,91.19999999999999,"[('I1KDJ0', 'F-14-13'), ('J3FI7N', 'F-15-11'), ('2T1DJM', 'F-15-11'), ('AKP0A7', 'F-15-12'), ('WRRW1W', 'F-15-12'), ('56TC1Z', 'F-17-13'), ('8N10W9', 'F-17-12'), ('KTDZY0', 'F-13-11')]","[249.8, 227.40000000000003, 171.59999999999997, 161.0, 152.2, 130.2, 130.2, 127.39999999999999, 111.19999999999999, 111.19999999999999, 111.19999999999999, 93.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999, 91.19999999999999]"
