waveNumber,fitness,individual,history
43175,120.6,"[('2T1DJM', 'E-14-11'), ('0LNUOV', 'E-20-12'), ('QVFB0Q', 'E-24-12'), ('05W6TK', 'E-24-12'), ('TNAHD4', 'E-24-11'), ('J3FI7N', 'E-24-11'), ('8N10W9', 'E-18-12'), ('W25EZN', 'E-16-12')]","[189.0, 176.59999999999997, 154.79999999999998, 141.0, 141.0, 129.39999999999998, 129.39999999999998, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6, 120.6]"
43173,153.0,"[('CD1NU9', 'E-18-11'), ('EO69NY', 'E-18-13'), ('7BU1V7', 'E-18-13'), ('JUUL5B', 'E-23-13'), ('8D9SAW', 'E-23-11'), ('ASG1IT', 'E-23-11'), ('HCMI82', 'F-21-12'), ('SMMRK3', 'F-21-12'), ('QTMT7N', 'H-16-12'), ('2OAVPY', 'H-14-13')]","[256.0, 211.99999999999994, 211.99999999999994, 211.99999999999994, 203.39999999999998, 181.59999999999997, 181.59999999999997, 172.79999999999995, 163.8, 163.8, 160.8, 160.8, 156.79999999999995, 155.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0]"
43172,119.39999999999999,"[('LXJQVG', 'F-17-11'), ('8D9SAW', 'F-15-11'), ('1D2ILZ', 'F-21-13'), ('HOUGRO', 'F-23-13'), ('70EPUK', 'G-17-11'), ('XPZSZ1', 'G-15-12'), ('5HQR89', 'G-15-11'), ('YXGRMP', 'G-13-13')]","[244.59999999999997, 209.8, 182.59999999999997, 168.2, 151.2, 138.2, 119.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999, 127.39999999999999]"
43171,146.6,"[('YXGRMP', 'C-22-12'), ('D8AMD3', 'C-16-12')]","[146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6]"
43168,89.79999999999998,"[('05W6TK', 'F-13-11'), ('E5CISL', 'F-13-12'), ('NM6C73', 'F-13-13'), ('WRRW1W', 'F-15-12'), ('8N10W9', 'F-17-12'), ('2OAVPY', 'F-17-11'), ('LXJQVG', 'F-17-11'), ('YE890X', 'F-14-11'), ('SMMRK3', 'F-14-11'), ('JEGRCL', 'H-14-11')]","[310.5999999999999, 259.4, 203.0, 203.0, 174.99999999999994, 157.59999999999997, 127.99999999999999, 115.79999999999998, 95.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998, 89.79999999999998]"
43166,103.79999999999998,"[('9KHDG3', 'E-14-11'), ('TBCCF7', 'E-13-13'), ('SMMRK3', 'E-13-13'), ('I1KDJ0', 'E-15-11'), ('WRRW1W', 'E-15-11'), ('XUZJ74', 'E-15-12'), ('AKP0A7', 'E-13-11'), ('WGHG3L', 'H-14-13')]","[247.0, 162.7, 135.2, 140.2, 134.99999999999997, 120.39999999999998, 115.19999999999999, 105.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998, 103.79999999999998]"
43165,141.2,"[('05W6TK', 'D-14-11'), ('WGHG3L', 'D-14-13'), ('1ENECA', 'D-14-13'), ('X31OGS', 'D-14-13'), ('AKP0A7', 'D-14-11'), ('F73ZE1', 'E-22-11'), ('J3FI7N', 'E-22-11'), ('I1KDJ0', 'E-20-12'), ('RAUDQ6', 'E-18-13'), ('CD1NU9', 'E-18-11')]","[270.59999999999997, 265.6, 243.40000000000003, 192.0, 161.2, 161.2, 161.2, 155.2, 145.39999999999998, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2, 141.2]"
43163,109.39999999999999,"[('RAUDQ6', 'F-21-11'), ('KTDZY0', 'F-21-11'), ('WRRW1W', 'F-21-11'), ('J3FI7N', 'F-23-11'), ('Q50W5L', 'F-24-13'), ('1ENECA', 'F-24-11'), ('AKP0A7', 'F-20-12'), ('TBCCF7', 'F-20-12')]","[194.8, 182.8, 164.59999999999997, 129.79999999999998, 126.19999999999999, 125.79999999999998, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999]"
43160,113.19999999999999,"[('J3FI7N', 'E-14-11'), ('TBCCF7', 'E-14-12'), ('FQ53YY', 'E-14-12'), ('NISP6K', 'E-18-13'), ('UHYJ3A', 'E-16-12'), ('NM6C73', 'E-14-11'), ('IJBSQT', 'F-15-11'), ('O9YFO8', 'F-13-13')]","[205.59999999999997, 193.39999999999998, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999]"
43154,103.19999999999999,"[('PP9DNA', 'E-15-13'), ('56TC1Z', 'E-15-13'), ('9S4AF8', 'E-17-13'), ('7BU1V7', 'E-17-13'), ('Z8KPP8', 'E-17-12'), ('NM6C73', 'E-17-11'), ('U95NWB', 'E-15-12'), ('9KHDG3', 'E-14-11')]","[187.39999999999998, 175.0, 153.2, 140.39999999999998, 114.6, 114.6, 113.19999999999999, 113.19999999999999, 113.19999999999999, 113.19999999999999, 111.19999999999999, 107.19999999999999, 107.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999, 103.19999999999999]"
43152,70.80000000000001,"[('WH1BJI', 'K-09-13'), ('CD1NU9', 'I-09-13')]","[70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001]"
43151,145.39999999999998,"[('WH1BJI', 'D-23-11'), ('8N10W9', 'D-23-11'), ('KTDZY0', 'D-23-13'), ('9KHDG3', 'D-24-13'), ('32ZKOX', 'D-24-12'), ('Z8KPP8', 'D-24-11'), ('WGHG3L', 'D-22-11'), ('UNPPMJ', 'D-22-11'), ('2T1DJM', 'D-20-11'), ('I1KDJ0', 'D-18-13')]","[275.40000000000003, 275.40000000000003, 237.39999999999998, 193.8, 175.39999999999998, 161.0, 161.0, 161.0, 149.39999999999998, 147.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998]"
43144,91.39999999999999,"[('JEGRCL', 'H-14-11'), ('SMMRK3', 'H-16-12'), ('2T1DJM', 'H-22-12'), ('I1KDJ0', 'H-24-12'), ('6M2FJM', 'G-21-11'), ('F7LULH', 'G-21-11'), ('KTDZY0', 'G-17-13'), ('8N10W9', 'G-17-12')]","[244.79999999999995, 180.8, 124.99999999999999, 122.19999999999999, 122.19999999999999, 101.39999999999999, 101.39999999999999, 94.19999999999999, 94.19999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999]"
